6269663569	48.2167135	10.0943944	Schulzentrum/Nautilla (Steig 1;2)
6269663570	48.2167439	10.0938928	Schulzentrum/Nautilla (Steig 3)
6269663571	48.2166425	10.0937171	Schulzentrum/Nautilla (Steig 4)
6269663572	48.2162207	10.0937828	Schulzentrum/Nautilla (Steig 5)
6269663573	48.2161519	10.0938546	Schulzentrum/Nautilla (Steig 6)
6269663574	48.2159589	10.0940725	Schulzentrum/Nautilla (Steig 8)
6269663575	48.2160018	10.0940202	Schulzentrum/Nautilla (Steig 7)
6294321659	48.4139886	10.1426702	Römerstraße
66263603	48.3876312	10.0060236	Escheugraben
66273568	48.3878714	10.0099168	Riedstraße
118796919	48.3922412	10.0034535	Neu-Ulm ZUP (Steig 5)
118796920	48.3918510	10.0030394	Neu-Ulm ZUP (Steig 4)
118796921	48.3920279	10.0028106	Neu-Ulm ZUP (Steig 8)
118796922	48.3921500	10.0035725	Neu-Ulm ZUP (Steig 3)
118796924	48.3920934	10.0036411	Neu-Ulm ZUP (Steig 1)
118796925	48.3923295	10.0033482	Neu-Ulm ZUP (Steig 7)
118796926	48.3917963	10.0031145	Neu-Ulm ZUP (Steig 2)
118796929	48.3919413	10.0029204	Neu-Ulm ZUP (Steig 6)
131225392	48.3795083	10.0090952	Neue Hochschule
136436785	48.3821413	10.0058450	Arena
136436787	48.3818677	10.0055318	Arena
217134174	48.3950826	10.0006414	Rathaus Neu-Ulm
217134175	48.3951716	10.0007505	Rathaus Neu-Ulm
217520305	48.3948262	10.0084267	Meininger Allee
217520309	48.3948027	10.0081827	Meininger Allee
217532172	48.3942391	10.0103079	Waldeck
217828622	48.3902149	10.0077527	Steubenstraße
217828624	48.3900367	10.0075949	Steubenstraße
217839913	48.3881030	10.0052743	Escheugraben
217902595	48.3879723	10.0102676	Riedstraße
219047324	48.3855504	10.0114303	Bradleystraße
219047327	48.3857188	10.0116766	Bradleystraße
220043932	48.3795176	10.0086348	Neue Hochschule
220219261	48.3769173	10.0105342	Wiley Süd
220219262	48.3769262	10.0106361	Wiley Süd
220269877	48.3708171	10.0112810	Bradleystraße
220269878	48.3707230	10.0112615	Danziger Straße
220626541	48.3696084	10.0148477	Reichenberger Straße
220626542	48.3689536	10.0151950	Reichenberger Straße
220626545	48.3664108	10.0179080	Hafnerweg
220626546	48.3660855	10.0181039	Hafnerweg
220920771	48.3638980	10.0130855	Allgäuer Straße
220920772	48.3640976	10.0107936	
220920773	48.3638678	10.0135925	Allgäuer Straße
220920774	48.3639773	10.0110430	Oberfeld
221248846	48.3668634	10.0108127	Hasenweg
221248848	48.3670521	10.0095362	
221248853	48.3670104	10.0092221	
221524654	48.3672119	10.0137375	Katholische Kirche
256747236	48.4137420	10.1427694	Römerstraße (Ri. Nersingen)
289219450	48.3722981	10.0456204	
289219451	48.3722571	10.0453936	
289219452	48.3712173	10.0085180	
289219453	48.3702094	10.0077053	
289219456	48.3705219	10.0083627	
328160667	48.3262781	10.0418752	
328160668	48.3271149	10.0414275	
353637120	48.3420943	10.0955113	
383305009	48.3403658	10.0318272	
383305011	48.3402452	10.0315972	
462134528	48.3898796	10.0265088	Bahnhalt Finninger Straße/Nord
462134533	48.3902638	10.0253350	
462134537	48.3901040	10.0255532	
